what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341984123687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984134091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984152707
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1341984155111
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1341984155255
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1341984155415
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1341984155590
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1341984155758
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1341984155935
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1341984156134
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1341984156334
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1341984156652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1341984157541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341984158328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341984164308
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341984169712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341984170567
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.upperCase",1341984174940
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.run",1341984176772
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341984210905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984214613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984237949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1341984238022
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341984239557
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.run",1341984243251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984279648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984297940
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1341984302806
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1341984304650
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1341984310064
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341984311450
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1341984313385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341984313994
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1341984314850
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341984315286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341984316177
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1341984320974
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1341984321453
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1341984321705
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341984322236
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.run",1341984327358
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984372576
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984609286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984611328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984624584
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1341984630100
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1341984633589
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1341984636744
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1341984641936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341984645938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341984651000
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1341984671209
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341984672984
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1341984674768
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341984676029
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1341984682639
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341984694822
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1341984696258
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341984697903
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.run",1341984700268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984710352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984759566
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1341984759917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984768862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984779452
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984781591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984782959
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984786500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984895926
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341984899680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341984901017
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341984902177
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.run",1341984908462
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984918766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984931612
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341984946031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341985005751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341985006748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341985007535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341985044830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341985082778
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341985094934
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.run",1341985096951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341985105474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341985110180
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341985725386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341985914132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341985937485
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341990070290
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341990076149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341990076948
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341990078654
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341990079979
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1341990080953
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1341990080953
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1341990080953
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1341990080954
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1341990080954
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1341990080954
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1341990080954
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1341990080954
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1341990080954
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1341990080954
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1341990080954
